counter_rating,counter_subscribers,info,link,name,tags
7377,13.6,Территория возможностей,https://habr.com/ru/company/rostelecom/,Ростелеком,"IT-инфраструктура,Работа с видео,Open source,Законодательство в IT,Хакатоны"
7414,157.0,Производитель сетевых устройств для бизнеса,https://habr.com/ru/company/zyxel/,ZYXEL в России,"Сетевые технологии,Сетевое оборудование,Системное администрирование,Беспроводные технологии,Облачные сервисы"
7492,20.2,think. create. accelerate.,https://habr.com/ru/company/luxoft/,Luxoft,"JavaScript,Java,Тестирование IT-систем,Графический дизайн,Тестирование веб-сервисов"
7216,43.5,Разработчик мобильных и браузерных игр,https://habr.com/ru/company/plarium/,Plarium,"Программирование,Разработка игр,Лайфхаки для гиков,Python,Учебный процесс в IT"
7537,16.0,"IT security, hosting and virtual environment",https://habr.com/ru/company/crowdsec/,CrowdSec,"Информационная безопасность,Сетевые технологии,Системное администрирование,Настройка Linux,Разработка под Linux"
7506,72.0,Компания,https://habr.com/ru/company/glowbyte/,GlowByte,"Машинное обучение,Big Data,Анализ и проектирование систем,IT-инфраструктура,Хранилища данных"
7521,138.0,Компания,https://habr.com/ru/company/hsespb/,Питерская Вышка,"Учебный процесс в IT,C++,Программирование,Машинное обучение,Визуализация данных"
7362,173.0,Компания,https://habr.com/ru/company/infowatch/,InfoWatch,"Информационная безопасность,IT-компании,Тестирование IT-систем,Настройка Linux,Oracle"
7652,1.9,Компания,https://habr.com/ru/company/asus/,ASUS,"Компьютерное железо,Ноутбуки,Высокая производительность,Процессоры,Настольные компьютеры"
7664,14.0,Компания,https://habr.com/ru/company/gagar_in/,GAGAR>IN,"Компьютерное железо,Системное администрирование,Серверная оптимизация,Серверное администрирование"
7579,688.0,Компания,https://habr.com/ru/company/drweb/,Доктор Веб,"Информационная безопасность,Антивирусная защита,Реверс-инжиниринг,Облачные вычисления,Спам и антиспам"
6156,25.0,Компания-разработчик российской BI-платформы,https://habr.com/ru/company/visiology/,Visiology,"Визуализация данных,Высокая производительность,Развитие стартапа,IT-компании,Администрирование баз данных"
